Id,Cusp_ID,Cycloid_Nu,Confidence,CompassA,Lat_dd,Long_dd
1,1,1,1,113.8698074,45.386,8.614
1,1,1,1,357.273689,45.644,8.24
2,2,1,1,62.73258391,45.428,8.699
2,2,1,1,7.00E-15,45.667,8.414
1,3,2,1,127.0025265,41.65,5.847
1,3,2,1,6.613460482,42.025,5.587
1,4,3,1,147.7632134,35.02,10.156
1,4,3,1,68.94042668,35.656,10.352
1,5,4,1,138.4473869,48.648,26.95
1,5,4,1,26.22196678,49.516,26.722
1,6,5,1,103.9283419,-38.622,27.324
1,6,5,1,350.0958168,-37.919,26.402
1,7,6,2,202.9321004,-41.664,15.579
1,7,6,2,54.63753811,-41.372,15.833
2,8,6,2,198.4349488,-38.024,19.309
2,8,6,2,49.89909245,-37.855,19.448
3,9,6,2,202.1663458,-35.107,22.044
3,9,6,2,47.72631099,-34.822,22.244
4,10,6,1,199.7988764,-31.904,24.907
4,10,6,1,58.57043439,-31.686,25.071
5,11,6,2,204.7751406,-29.157,27.449
5,11,6,2,51.14662566,-28.823,27.74
1,12,7,1,129.0355129,-9.732,4.395
1,12,7,1,5.767888898,-9.354,4.229
2,13,7,1,101.1648802,-14.396,8.926
2,13,7,1,351.1796204,-14.22,8.734
3,14,7,1,105.4077036,-18.107,13.982
3,14,7,1,346.9081069,-17.834,13.658
4,15,7,1,100.491477,-20.452,17.752
4,15,7,1,327.7575322,-20.266,17.488
5,16,7,1,112.3062051,-22.336,20.855
5,16,7,1,323.0170931,-22.074,20.535
6,17,7,2,89.2747757,-24.008,24.141
6,17,7,2,306.1074513,-23.862,23.772
1,18,8,2,85.91438322,-2.864,9.783
1,18,8,2,288.4349488,-2.771,9.138
2,19,8,1,66.80140949,-4.622,14.489
2,19,8,1,300.6645646,-4.476,13.947
1,20,9,1,84.89783475,0.427,13.25
1,20,9,1,312.4362298,0.57,12.827
2,21,9,2,96.22582906,-1.976,19.985
2,21,9,2,309.2894069,-1.755,19.473
1,22,10,2,48.57633438,10.518,-38.551
1,22,10,2,278.9726266,10.285,-39.264
2,23,10,1,48.81407483,13.589,-31.883
2,23,10,1,286.4403795,13.429,-32.577
3,24,10,1,52.02839624,15.923,-24.163
3,24,10,1,300.9637565,15.899,-24.629
4,25,10,1,68.19859051,17.146,-16.812
4,25,10,1,299.8989018,17.16,-17.394
5,26,10,1,73.21735585,17.228,-10.538
5,26,10,1,308.9275436,17.287,-11.077
1,27,11,3,105.2551187,0.859,-41.524
1,27,11,3,258.366366,0.847,-42.052
2,28,11,3,97.27500496,1.096,-37.69
2,28,11,3,265.0302593,1.108,-38.388
1,29,12,1,112.7509763,-0.305,-42.97
1,29,12,1,253.3007558,-0.301,-43.339
2,30,12,1,117.1981279,-0.023,-37.015
2,30,12,1,239.5889187,0.006,-37.525
3,31,12,1,123.111342,0.341,-31.065
3,31,12,1,230.7105931,0.345,-31.302
1,32,13,1,73.92642584,6.727,-36.644
1,32,13,1,311.4964684,6.781,-37.059
2,33,13,1,74.32047588,6.8,-31.753
2,33,13,1,300.9637565,6.812,-32.149
3,34,13,2,77.27564431,6.672,-25.969
3,34,13,2,289.2306724,6.727,-26.342
4,35,13,1,75.57922687,6.323,-22.763
4,35,13,1,302.2756443,6.373,-23.042
13,36,13,2,90,-2.058,22.415
13,36,13,2,307.8749837,-1.979,22.141
14,37,13,2,106.6069806,-4.448,28.319
